date,departments,daily_visits,daily_admissions,admission_rate,patient_days,daily_discharge,wait_time,daily_revenue,ctf_daily,daily_profit,ctp_daily,beds_in_use,total_beds,occupancy_rate,daily_readmission,readmission_rate,bed_turnover,employee_count,employee_resign,employee_turnover,equip_count,equip_use,staff_patient_ratio,refer_reason,doctor_id,day_of_week
2024-02-18,surgery,0,0,0.0,80,19,0,18120,0,18115,0,19,19,1.0,0,0.07,0.0,11,1,0.09,16,0.8,1:3,Imaging,SUR23,Sunday
2024-02-19,pediatric,26,0,0.0,11,12,41,0,0,0,0,7,18,0.39,1,0.0,0.0,16,1,0.06,43,0.8,1:2,Rehabilitation,PED16,Monday
2024-02-20,obgyn,38,0,0.0,17,15,27,0,0,0,0,27,27,1.0,0,0.17,0.0,13,0,0.0,56,0.7,1:1,Elective Procedure,OBG12,Tuesday
2024-02-21,cardio,8,0,0.0,38,13,42,0,0,0,0,13,13,1.0,3,0.1,0.0,16,1,0.06,45,1.0,1:1,Imaging,CAR3,Wednesday
2024-02-22,orthopedic,29,0,0.0,56,16,0,0,0,0,0,16,16,1.0,3,0.03,0.0,18,1,0.06,24,0.9,1:3,Elective Procedure,ORT14,Thursday
2024-02-23,neurology,33,6,0.18,102,31,0,0,0,0,0,31,68,0.46,2,0.15,0.1,16,0,0.0,49,0.9,1:1,Critical Care,NEU10,Friday
2024-02-24,oncology,43,0,0.0,96,3,34,0,0,0,0,14,14,1.0,2,0.13,0.0,19,1,0.05,45,0.8,1:2,Nervous System,ONC13,Saturday
2024-02-25,radiology,35,0,0.0,0,0,0,7920,0,7907,0,0,0,0.0,0,0.0,0.0,0,0,0.0,33,0.7,1:3,0,RAD20,Sunday
2024-02-26,pathology,45,0,0.0,0,0,0,18254,0,18251,0,0,0,0.0,0,0.0,0.0,0,0,0.0,32,0.6,1:4,0,PAT15,Monday
2024-02-27,anesthesiology,44,0,0.0,0,0,0,2493,0,2481,0,0,0,0.0,0,0.0,0.0,0,0,0.0,37,0.7,1:4,0,ANE2,Tuesday
2024-02-28,icu,37,0,0.0,26,11,43,0,0,0,0,17,17,1.0,3,0.06,0.0,11,0,0.0,28,0.5,1:2,Lab Tests,ICU5,Wednesday
2024-02-29,psychiatry,17,0,0.0,83,37,16,0,0,0,0,59,61,0.97,3,0.11,0.0,13,0,0.0,35,0.8,1:2,Rehabilitation,PSY19,Thursday
2024-03-01,physical_therapy,44,0,0.0,0,15,0,4202,0,4198,0,26,30,0.87,0,0.0,0.0,14,1,0.07,14,0.9,1:3,0,PHY18,Friday
2024-03-02,resp_therapy,26,0,0.0,0,29,0,13098,0,13083,0,29,29,1.0,0,0.0,0.0,13,0,0.0,41,1.0,1:2,0,RES21,Saturday
2024-03-03,nutrition_diet,24,0,0.0,0,0,0,8483,0,8476,0,0,0,0.0,0,0.0,0.0,12,1,0.08,0,0.0,1:4,0,NUT11,Sunday
2024-03-04,pharmacy,12,0,0.0,0,0,0,7134,0,7123,0,0,0,0.0,0,0.0,0.0,0,0,0.0,33,0.8,1:1,0,PHA17,Monday
2024-03-05,laboratory,32,0,0.0,0,0,0,9857,0,9844,0,0,0,0.0,0,0.0,0.0,0,0,0.0,11,0.9,1:2,0,LAB8,Tuesday
2024-03-06,infection_control,20,0,0.55,0,16,0,0,0,0,0,0,0,0.44,4,0.03,0.0,0,0,0.0,0,0.0,1:3,0,INF6,Wednesday
2024-03-07,medical_records,25,0,0.0,0,0,0,6084,0,6071,0,0,0,0.0,0,0.0,0.0,16,1,0.06,0,0.0,1:2,0,MED9,Thursday
2024-03-08,admin,5,0,0.0,0,0,0,10094,0,10091,0,0,0,0.0,0,0.0,0.0,19,1,0.05,0,0.0,1:3,0,ADM1,Friday
2024-03-09,security,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,15,1,0.07,0,0.0,0,0,SEC22,Saturday
2024-03-10,emergency,14,0,0.0,0,35,22,0,0,0,0,35,35,1.0,0,0.0,0.0,14,0,0.0,56,0.8,1:2,Chronic Illness,EME4,Sunday
2024-03-11,internal_med,18,18,1.0,47,21,45,0,0,0,0,25,75,0.33,3,0.06,0.2,13,0,0.0,44,0.5,1:3,Lab Tests,INT7,Monday
2024-03-12,surgery,0,7,1.0,73,17,0,9855,0,9850,0,23,75,0.31,4,0.15,0.1,10,0,0.0,20,0.9,1:3,Cancer,SUR23,Tuesday
2024-03-13,pediatric,25,0,0.0,63,10,18,0,0,0,0,10,10,1.0,3,0.11,0.0,18,0,0.0,34,0.6,1:3,Lab Tests,PED16,Wednesday
2024-03-14,obgyn,27,0,0.0,92,10,50,0,0,0,0,23,33,0.7,2,0.01,0.0,18,0,0.0,15,0.8,1:3,Elective Procedure,OBG12,Thursday
2024-03-15,cardio,26,14,0.54,74,35,22,0,0,0,0,13,62,0.21,1,0.2,0.2,19,0,0.0,14,0.8,1:1,Cardiac Issues,CAR3,Friday
2024-03-16,orthopedic,29,0,0.0,18,20,0,0,0,0,0,60,60,1.0,0,0.0,0.0,16,0,0.0,47,0.8,1:4,Accident,ORT14,Saturday
2024-03-17,neurology,47,0,0.0,149,31,0,0,0,0,0,48,64,0.75,0,0.06,0.0,14,1,0.07,56,0.7,1:3,Child Health,NEU10,Sunday
2024-03-18,oncology,5,0,0.0,126,13,26,0,0,0,0,13,13,1.0,1,0.11,0.0,13,1,0.08,25,0.9,1:2,Accident,ONC13,Monday
2024-03-19,radiology,23,0,0.0,0,0,0,1406,0,1398,0,0,0,0.0,0,0.0,0.0,0,0,0.0,16,0.6,1:1,0,RAD20,Tuesday
2024-03-20,pathology,8,0,0.0,0,0,0,8529,0,8513,0,0,0,0.0,0,0.0,0.0,0,0,0.0,56,0.7,1:1,0,PAT15,Wednesday
2024-03-21,anesthesiology,15,0,0.0,0,0,0,6943,0,6941,0,0,0,0.0,0,0.0,0.0,0,0,0.0,19,0.5,1:4,0,ANE2,Thursday
2024-03-22,icu,21,14,0.67,39,14,52,0,0,0,0,9,37,0.24,0,0.08,0.4,14,1,0.07,46,0.8,1:3,Lab Tests,ICU5,Friday
2024-03-23,psychiatry,15,0,0.0,33,14,13,0,0,0,0,23,33,0.7,0,0.12,0.0,12,0,0.0,16,0.8,1:1,Critical Care,PSY19,Saturday
2024-03-24,physical_therapy,30,0,0.0,0,28,0,4527,0,4516,0,47,47,1.0,0,0.0,0.0,17,1,0.06,30,1.0,1:3,0,PHY18,Sunday
2024-03-25,resp_therapy,38,0,0.0,0,32,0,8185,0,8173,0,33,33,1.0,0,0.0,0.0,10,1,0.1,48,0.5,1:2,0,RES21,Monday
2024-03-26,nutrition_diet,12,0,0.0,0,0,0,11297,0,11286,0,0,0,0.0,0,0.0,0.0,17,1,0.06,0,0.0,1:4,0,NUT11,Tuesday
2024-03-27,pharmacy,6,0,0.0,0,0,0,3063,0,3056,0,0,0,0.0,0,0.0,0.0,0,0,0.0,54,0.5,1:2,0,PHA17,Wednesday
2024-03-28,laboratory,48,0,0.0,0,0,0,2366,0,2360,0,0,0,0.0,0,0.0,0.0,0,0,0.0,34,0.9,1:1,0,LAB8,Thursday
2024-03-29,infection_control,8,0,0.0,0,21,0,0,0,0,0,0,0,0.82,1,0.17,0.0,0,0,0.0,0,0.0,1:4,0,INF6,Friday
2024-03-30,medical_records,6,0,0.0,0,0,0,4683,0,4671,0,0,0,0.0,0,0.0,0.0,14,1,0.07,0,0.0,1:2,0,MED9,Saturday
2024-03-31,admin,34,0,0.0,0,0,0,4615,0,4598,0,0,0,0.0,0,0.0,0.0,16,1,0.06,0,0.0,1:1,0,ADM1,Sunday
2024-04-01,security,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,11,1,0.09,0,0.0,0,0,SEC22,Monday
2024-04-02,emergency,44,0,0.0,0,19,56,0,0,0,0,55,55,1.0,0,0.0,0.0,13,0,0.0,16,0.7,1:3,Joint Issues,EME4,Tuesday
2024-04-03,internal_med,15,15,1.0,55,26,44,0,0,0,0,14,57,0.25,1,0.2,0.3,16,1,0.06,42,0.9,1:2,Joint Issues,INT7,Wednesday
2024-04-04,surgery,0,0,0.0,36,11,0,14462,0,14460,0,20,20,1.0,3,0.15,0.0,14,1,0.07,16,1.0,1:4,Cancer,SUR23,Thursday
2024-04-05,pediatric,29,17,0.59,66,4,45,0,0,0,0,17,38,0.45,3,0.07,0.4,13,1,0.08,12,0.9,1:4,Rehabilitation,PED16,Friday
2024-04-06,obgyn,8,8,1.0,119,23,25,0,0,0,0,13,52,0.25,2,0.0,0.2,11,0,0.0,49,0.7,1:1,Pre/Post Surgery,OBG12,Saturday
2024-04-07,cardio,24,2,0.08,133,28,22,0,0,0,0,30,60,0.5,0,0.15,0.0,14,1,0.07,48,0.8,1:2,Cancer,CAR3,Sunday
2024-04-08,orthopedic,31,0,0.0,36,25,0,0,0,0,0,46,46,1.0,3,0.19,0.0,18,0,0.0,19,1.0,1:4,Joint Issues,ORT14,Monday
2024-04-09,neurology,26,0,0.0,60,34,0,0,0,0,0,45,57,0.79,0,0.18,0.0,17,1,0.06,40,0.5,1:2,Chronic Illness,NEU10,Tuesday
2024-01-01,oncology,49,0,0.0,86,27,19,0,0,0,0,42,42,1.0,0,0.05,0.0,14,0,0.0,23,0.6,1:1,Rehabilitation,ONC13,Monday
2024-01-02,radiology,13,0,0.0,0,0,0,1284,0,1277,0,0,0,0.0,0,0.0,0.0,0,0,0.0,29,0.9,1:3,0,RAD20,Tuesday
2024-01-03,pathology,13,0,0.0,0,0,0,2036,0,2017,0,0,0,0.0,0,0.0,0.0,0,0,0.0,19,1.0,1:4,0,PAT15,Wednesday
2024-01-04,anesthesiology,17,0,0.0,0,0,0,9126,0,9122,0,0,0,0.0,0,0.0,0.0,0,0,0.0,15,0.6,1:4,0,ANE2,Thursday
2024-01-05,icu,31,0,0.0,47,17,7,0,0,0,0,20,21,0.95,4,0.15,0.0,15,0,0.0,21,0.9,1:3,Critical Care,ICU5,Friday
2024-01-06,psychiatry,21,0,0.0,107,24,47,0,0,0,0,55,58,0.95,4,0.08,0.0,15,1,0.07,27,0.7,1:1,Joint Issues,PSY19,Saturday
2024-01-07,physical_therapy,19,0,0.42,0,15,0,3980,0,3974,0,29,52,0.56,0,0.0,0.0,17,1,0.06,11,0.6,1:1,0,PHY18,Sunday
2024-01-08,resp_therapy,35,0,0.0,0,10,0,3951,0,3941,0,10,10,1.0,0,0.0,0.0,10,1,0.1,20,0.8,1:3,0,RES21,Monday
2024-01-09,nutrition_diet,38,0,0.0,0,0,0,15352,0,15341,0,0,0,0.0,0,0.0,0.0,13,0,0.0,0,0.0,1:1,0,NUT11,Tuesday
2024-01-10,pharmacy,37,0,0.0,0,0,0,14280,0,14263,0,0,0,0.0,0,0.0,0.0,0,0,0.0,21,1.0,1:4,0,PHA17,Wednesday
2024-01-11,laboratory,37,0,0.0,0,0,0,16397,0,16388,0,0,0,0.0,0,0.0,0.0,0,0,0.0,33,0.9,1:2,0,LAB8,Thursday
2024-01-12,infection_control,15,0,1.0,0,21,0,0,0,0,0,0,0,0.25,0,0.01,0.0,0,0,0.0,0,0.0,1:3,0,INF6,Friday
2024-01-13,medical_records,5,0,0.0,0,0,0,2334,0,2316,0,0,0,0.0,0,0.0,0.0,12,1,0.08,0,0.0,1:2,0,MED9,Saturday
2024-01-14,admin,49,0,0.0,0,0,0,18965,0,18957,0,0,0,0.0,0,0.0,0.0,11,0,0.0,0,0.0,1:3,0,ADM1,Sunday
2024-01-15,security,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,15,0,0.0,0,0.0,0,0,SEC22,Monday
2024-01-16,emergency,18,0,0.0,0,17,53,0,0,0,0,17,17,1.0,0,0.0,0.0,15,1,0.07,17,0.8,1:2,Rehabilitation,EME4,Tuesday
2024-01-17,internal_med,40,1,0.02,44,14,48,0,0,0,0,61,76,0.8,0,0.07,0.0,13,0,0.0,46,0.8,1:1,Child Health,INT7,Wednesday
2024-01-18,surgery,0,0,0.0,140,31,0,14609,0,14602,0,47,47,1.0,4,0.06,0.0,18,0,0.0,31,0.6,1:2,Elective Procedure,SUR23,Thursday
2024-01-19,pediatric,28,0,0.0,101,21,59,0,0,0,0,63,72,0.88,2,0.04,0.0,12,1,0.08,30,0.7,1:2,Pre/Post Surgery,PED16,Friday
2024-01-20,obgyn,41,19,0.46,126,12,17,0,0,0,0,10,41,0.24,1,0.09,0.5,11,1,0.09,54,0.7,1:3,Joint Issues,OBG12,Saturday
2024-01-21,cardio,6,0,0.0,11,14,24,0,0,0,0,23,24,0.96,2,0.06,0.0,17,1,0.06,34,0.7,1:3,Cardiac Issues,CAR3,Sunday
2024-01-22,orthopedic,31,0,0.0,24,20,0,0,0,0,0,34,50,0.68,4,0.07,0.0,11,0,0.0,14,0.9,1:4,Child Health,ORT14,Monday
2024-01-23,neurology,37,0,0.0,69,24,0,0,0,0,0,28,28,1.0,4,0.04,0.0,12,1,0.08,36,0.7,1:1,Cardiac Issues,NEU10,Tuesday
2024-01-24,oncology,37,0,0.0,144,32,29,0,0,0,0,52,52,1.0,1,0.1,0.0,18,1,0.06,28,1.0,1:2,Accident,ONC13,Wednesday
2024-01-25,radiology,44,0,0.0,0,0,0,5812,0,5803,0,0,0,0.0,0,0.0,0.0,0,0,0.0,18,0.5,1:4,0,RAD20,Thursday
2024-01-26,pathology,42,0,0.0,0,0,0,8870,0,8861,0,0,0,0.0,0,0.0,0.0,0,0,0.0,45,1.0,1:3,0,PAT15,Friday
2024-01-27,anesthesiology,43,0,0.0,0,0,0,1495,0,1493,0,0,0,0.0,0,0.0,0.0,0,0,0.0,36,0.8,1:4,0,ANE2,Saturday
2024-01-28,icu,33,9,0.27,124,5,40,0,0,0,0,38,52,0.73,2,0.06,0.2,15,0,0.0,12,1.0,1:3,Critical Care,ICU5,Sunday
2024-01-29,psychiatry,35,0,0.0,84,12,19,0,0,0,0,41,51,0.8,0,0.09,0.0,12,0,0.0,49,0.7,1:2,Imaging,PSY19,Monday
2024-01-30,physical_therapy,10,0,0.0,0,28,0,16965,0,16962,0,35,35,1.0,0,0.0,0.0,14,0,0.0,51,0.5,1:4,0,PHY18,Tuesday
2024-01-31,resp_therapy,12,0,1.0,0,8,0,16632,0,16613,0,19,60,0.32,0,0.0,0.0,10,0,0.0,23,0.6,1:3,0,RES21,Wednesday
2024-02-01,nutrition_diet,24,0,0.0,0,0,0,4571,0,4565,0,0,0,0.0,0,0.0,0.0,13,1,0.08,0,0.0,1:1,0,NUT11,Thursday
2024-02-02,pharmacy,36,0,0.0,0,0,0,11007,0,10990,0,0,0,0.0,0,0.0,0.0,0,0,0.0,52,1.0,1:2,0,PHA17,Friday
2024-02-03,laboratory,29,0,0.0,0,0,0,9259,0,9255,0,0,0,0.0,0,0.0,0.0,0,0,0.0,15,0.7,1:2,0,LAB8,Saturday
2024-02-04,infection_control,41,0,0.0,0,25,0,0,0,0,0,0,0,0.68,1,0.07,0.0,0,0,0.0,0,0.0,1:4,0,INF6,Sunday
2024-02-05,medical_records,21,0,0.0,0,0,0,19995,0,19986,0,0,0,0.0,0,0.0,0.0,13,1,0.08,0,0.0,1:1,0,MED9,Monday
2024-02-06,admin,27,0,0.0,0,0,0,13319,0,13300,0,0,0,0.0,0,0.0,0.0,13,1,0.08,0,0.0,1:1,0,ADM1,Tuesday
2024-02-07,security,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,14,0,0.0,0,0.0,0,0,SEC22,Wednesday
2024-02-08,emergency,46,8,0.17,0,15,37,0,0,0,0,36,59,0.61,0,0.0,0.0,15,0,0.0,33,0.9,1:1,Imaging,EME4,Thursday
2024-02-09,internal_med,36,0,0.0,68,16,34,0,0,0,0,26,26,1.0,1,0.05,0.0,11,0,0.0,13,0.6,1:2,Rehabilitation,INT7,Friday
2024-02-10,surgery,0,0,0.0,12,2,0,8470,0,8460,0,34,34,1.0,3,0.08,0.0,10,0,0.0,46,0.6,1:2,Pre/Post Surgery,SUR23,Saturday
2024-02-11,pediatric,18,1,0.06,96,33,48,0,0,0,0,42,76,0.55,4,0.01,0.0,10,1,0.1,22,1.0,1:4,Rehabilitation,PED16,Sunday
2024-02-12,obgyn,10,0,0.0,18,17,36,0,0,0,0,32,47,0.68,2,0.04,0.0,16,1,0.06,54,0.9,1:3,Prenatal,OBG12,Monday
2024-02-13,cardio,27,4,0.15,138,22,30,0,0,0,0,18,44,0.41,0,0.14,0.1,16,0,0.0,52,0.8,1:3,Lab Tests,CAR3,Tuesday
2024-02-14,orthopedic,19,0,0.0,91,12,0,0,0,0,0,12,12,1.0,4,0.07,0.0,12,1,0.08,40,0.9,1:3,Elective Procedure,ORT14,Wednesday
2024-02-15,neurology,19,0,0.0,111,24,0,0,0,0,0,32,46,0.7,0,0.05,0.0,17,0,0.0,40,0.5,1:3,Cancer,NEU10,Thursday
2024-02-16,oncology,32,32,1.0,83,22,48,0,0,0,0,10,66,0.15,1,0.07,0.5,13,1,0.08,38,0.6,1:2,Mental Health,ONC13,Friday
2024-02-17,radiology,8,0,0.0,0,0,0,2236,0,2218,0,0,0,0.0,0,0.0,0.0,0,0,0.0,43,0.7,1:1,0,RAD20,Saturday
2024-02-18,pathology,42,0,0.0,0,0,0,6022,0,6018,0,0,0,0.0,0,0.0,0.0,0,0,0.0,37,0.5,1:4,0,PAT15,Sunday
2024-02-19,anesthesiology,30,0,0.0,0,0,0,15793,0,15789,0,0,0,0.0,0,0.0,0.0,0,0,0.0,18,0.8,1:1,0,ANE2,Monday
2024-02-20,icu,22,22,1.0,123,1,39,0,0,0,0,19,50,0.38,3,0.03,0.4,13,0,0.0,34,0.7,1:4,Mental Health,ICU5,Tuesday
2024-02-21,psychiatry,25,6,0.24,15,13,59,0,0,0,0,27,46,0.59,3,0.01,0.1,16,1,0.06,32,1.0,1:1,Nervous System,PSY19,Wednesday
2024-02-22,physical_therapy,22,0,1.0,0,5,0,6718,0,6708,0,10,53,0.19,0,0.0,0.0,18,1,0.06,52,0.7,1:4,0,PHY18,Thursday
2024-02-23,resp_therapy,21,0,1.0,0,11,0,2223,0,2207,0,19,59,0.32,0,0.0,0.0,16,0,0.0,43,0.9,1:3,0,RES21,Friday
2024-02-24,nutrition_diet,39,0,0.0,0,0,0,11150,0,11132,0,0,0,0.0,0,0.0,0.0,19,1,0.05,0,0.0,1:2,0,NUT11,Saturday
2024-02-25,pharmacy,5,0,0.0,0,0,0,15436,0,15419,0,0,0,0.0,0,0.0,0.0,0,0,0.0,10,0.8,1:2,0,PHA17,Sunday
2024-02-26,laboratory,32,0,0.0,0,0,0,18718,0,18700,0,0,0,0.0,0,0.0,0.0,0,0,0.0,24,1.0,1:3,0,LAB8,Monday
2024-02-27,infection_control,48,0,0.06,0,28,0,0,0,0,0,0,0,0.42,1,0.06,0.0,0,0,0.0,0,0.0,1:4,0,INF6,Tuesday
2024-02-28,medical_records,24,0,0.0,0,0,0,16300,0,16293,0,0,0,0.0,0,0.0,0.0,11,0,0.0,0,0.0,1:4,0,MED9,Wednesday
2024-02-29,admin,8,0,0.0,0,0,0,17407,0,17405,0,0,0,0.0,0,0.0,0.0,13,0,0.0,0,0.0,1:3,0,ADM1,Thursday
2024-03-01,security,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,14,1,0.07,0,0.0,0,0,SEC22,Friday
